iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_UMC,,Upper middle income,01/07/2021,1630125593.0,873284459.0,118471479.0,25470996.0,25669892.0,64.54,34.57,4.69,10163.0,9547268.0,0.378,2525921300
OWID_UMC,,Upper middle income,08/07/2021,1759547855.0,900293810.0,130404652.0,18295899.0,18537502.0,69.66,35.64,5.16,7339.0,9689763.0,0.384,2525921300
OWID_UMC,,Upper middle income,19/11/2020,,,,,,,,,,,,2525921300
OWID_UMC,,Upper middle income,09/06/2021,1083134047.0,172798129.0,88758159.0,21003703.0,20913569.0,42.88,6.84,3.51,8280.0,2754285.0,0.109,2525921300
OWID_UMC,,Upper middle income,07/06/2021,1042425276.0,165222646.0,86057006.0,19669789.0,22557593.0,41.27,6.54,3.41,8930.0,2527788.0,0.1,2525921300
OWID_UMC,,Upper middle income,17/05/2021,602232964.0,118541500.0,65452391.0,17187686.0,15042432.0,23.84,4.69,2.59,5955.0,1523918.0,0.06,2525921300
OWID_UMC,,Upper middle income,16/05/2021,585112247.0,117273456.0,64564115.0,15177358.0,14145287.0,23.16,4.64,2.56,5600.0,1543598.0,0.061,2525921300
OWID_UMC,,Upper middle income,15/05/2021,569480145.0,115896752.0,63675772.0,14403945.0,13068227.0,22.55,4.59,2.52,5174.0,1513593.0,0.06,2525921300
OWID_UMC,,Upper middle income,14/05/2021,555260718.0,114650343.0,63052622.0,16404369.0,12587337.0,21.98,4.54,2.5,4983.0,1455918.0,0.058,2525921300
OWID_UMC,,Upper middle income,13/05/2021,539421235.0,113373730.0,62193606.0,15080593.0,12150690.0,21.36,4.49,2.46,4810.0,1482338.0,0.059,2525921300
OWID_UMC,,Upper middle income,12/05/2021,524533426.0,111909231.0,61239807.0,14975270.0,11643101.0,20.77,4.43,2.42,4609.0,1462274.0,0.058,2525921300
OWID_UMC,,Upper middle income,11/05/2021,509548338.0,109751502.0,59634082.0,12067804.0,10753105.0,20.17,4.35,2.36,4257.0,1458594.0,0.058,2525921300
OWID_UMC,,Upper middle income,18/05/2021,619486542.0,120827260.0,66795738.0,17254244.0,15783354.0,24.53,4.78,2.64,6249.0,1624593.0,0.064,2525921300
OWID_UMC,,Upper middle income,10/05/2021,497078902.0,107745358.0,58517003.0,10907683.0,10120630.0,19.68,4.27,2.32,4007.0,1480584.0,0.059,2525921300
OWID_UMC,,Upper middle income,08/05/2021,478672933.0,105901637.0,57333511.0,11037730.0,9308552.0,18.95,4.19,2.27,3685.0,1453795.0,0.058,2525921300
